# Value averages  
# Time            	momentum_x        	momentum_y        	momentum_z        
0.315	2.2076233451e-08	2.0679231204e-08	0.0000000000e+00
0.32	2.2297791685e-08	2.0881097607e-08	0.0000000000e+00
0.325	2.2520146855e-08	2.1080058436e-08	0.0000000000e+00
0.33	2.2742713494e-08	2.1276439009e-08	0.0000000000e+00
0.335	2.2964362329e-08	2.1470312848e-08	0.0000000000e+00
0.34	2.3184883579e-08	2.1662831961e-08	0.0000000000e+00
0.345	2.3403773720e-08	2.1853982233e-08	0.0000000000e+00
0.35	2.3620641844e-08	2.2043571356e-08	0.0000000000e+00
0.355	2.3835471527e-08	2.2230906740e-08	0.0000000000e+00
0.36	2.4047683387e-08	2.2414910752e-08	0.0000000000e+00
0.365	2.4257152841e-08	2.2596393872e-08	0.0000000000e+00
0.37	2.4463909893e-08	2.2775437675e-08	0.0000000000e+00
0.375	2.4668013816e-08	2.2952189816e-08	0.0000000000e+00
0.38	2.4869852737e-08	2.3127636872e-08	0.0000000000e+00
0.385	2.5069724038e-08	2.3301724072e-08	0.0000000000e+00
0.39	2.5268551365e-08	2.3474475629e-08	0.0000000000e+00
0.395	2.5466000477e-08	2.3645940714e-08	0.0000000000e+00
0.4	2.5661467706e-08	2.3816217470e-08	0.0000000000e+00
0.405	2.5851578683e-08	2.3985339132e-08	0.0000000000e+00
0.41	2.6035173755e-08	2.4153225207e-08	0.0000000000e+00
0.415	2.6212812271e-08	2.4320037665e-08	0.0000000000e+00
0.42	2.6384869270e-08	2.4485808949e-08	0.0000000000e+00
0.425	2.6551166699e-08	2.4650557979e-08	0.0000000000e+00
0.43	2.6713901586e-08	2.4814447096e-08	0.0000000000e+00
0.435	2.6873370053e-08	2.4977288888e-08	0.0000000000e+00
0.44	2.7029766453e-08	2.5139003236e-08	0.0000000000e+00
0.445	2.7183221790e-08	2.5299896841e-08	0.0000000000e+00
0.45	2.7333797743e-08	2.5459631277e-08	0.0000000000e+00
0.455	2.7481754689e-08	2.5618372914e-08	0.0000000000e+00
0.46	2.7626417242e-08	2.5775920126e-08	0.0000000000e+00
0.465	2.7768734534e-08	2.5932248477e-08	0.0000000000e+00
0.47	2.7908763139e-08	2.6087184034e-08	0.0000000000e+00
0.475	2.8046485739e-08	2.6240776928e-08	0.0000000000e+00
0.48	2.8182148438e-08	2.6393541308e-08	0.0000000000e+00
0.485	2.8314784414e-08	2.6545350760e-08	0.0000000000e+00
0.49	2.8445524241e-08	2.6696220878e-08	0.0000000000e+00
0.495	2.8575881686e-08	2.6846237796e-08	0.0000000000e+00
0.5	2.8706353719e-08	2.6995391516e-08	0.0000000000e+00
0.505	2.8838069652e-08	2.7143919759e-08	0.0000000000e+00
0.51	2.8971565200e-08	2.7291683195e-08	0.0000000000e+00
0.515	2.9106787972e-08	2.7438734926e-08	0.0000000000e+00
0.52	2.9244645805e-08	2.7585011583e-08	0.0000000000e+00
0.525	2.9384683173e-08	2.7730399386e-08	0.0000000000e+00
0.53	2.9525975397e-08	2.7874852507e-08	0.0000000000e+00
0.535	2.9667225186e-08	2.8017987739e-08	0.0000000000e+00
0.54	2.9807717991e-08	2.8159626320e-08	0.0000000000e+00
0.545	2.9947653496e-08	2.8299718186e-08	0.0000000000e+00
0.55	3.0085700673e-08	2.8437989715e-08	0.0000000000e+00
0.555	3.0220198538e-08	2.8575311771e-08	0.0000000000e+00
0.56	3.0352446160e-08	2.8711795004e-08	0.0000000000e+00
0.565	3.0482643717e-08	2.8847331960e-08	0.0000000000e+00
0.57	3.0610977270e-08	2.8981973211e-08	0.0000000000e+00
0.575	3.0737506346e-08	2.9115974362e-08	0.0000000000e+00
0.58	3.0862547785e-08	2.9249436959e-08	0.0000000000e+00
0.585	3.0985585810e-08	2.9382109921e-08	0.0000000000e+00
0.59	3.1106338555e-08	2.9513889553e-08	0.0000000000e+00
0.595	3.1225658392e-08	2.9644676938e-08	0.0000000000e+00
0.6	3.1343580605e-08	2.9774330059e-08	0.0000000000e+00
0.605	3.1460362475e-08	2.9902818038e-08	0.0000000000e+00
0.61	3.1575715263e-08	3.0029832076e-08	0.0000000000e+00
0.615	3.1689709848e-08	3.0155151330e-08	0.0000000000e+00
0.62	3.1802397991e-08	3.0278623207e-08	0.0000000000e+00
0.625	3.1913757071e-08	3.0400108895e-08	0.0000000000e+00
0.63	3.2023972860e-08	3.0519583519e-08	0.0000000000e+00
0.635	3.2133365223e-08	3.0636739737e-08	0.0000000000e+00
0.64	3.2242224366e-08	3.0751515318e-08	0.0000000000e+00
0.645	3.2351039383e-08	3.0863785269e-08	0.0000000000e+00
0.65	3.2458905371e-08	3.0973426673e-08	0.0000000000e+00
0.655	3.2565635919e-08	3.1080438445e-08	0.0000000000e+00
0.66	3.2668564380e-08	3.1184821245e-08	0.0000000000e+00
0.665	3.2767972373e-08	3.1287139714e-08	0.0000000000e+00
0.67	3.2864992317e-08	3.1387856078e-08	0.0000000000e+00
0.675	3.2960053452e-08	3.1487017680e-08	0.0000000000e+00
0.68	3.3053760528e-08	3.1584831052e-08	0.0000000000e+00
0.685	3.3146050963e-08	3.1681146522e-08	0.0000000000e+00
0.69	3.3237544840e-08	3.1775856462e-08	0.0000000000e+00
0.695	3.3328423026e-08	3.1868814174e-08	0.0000000000e+00
0.7	3.3417725111e-08	3.1959773047e-08	0.0000000000e+00
0.705	3.3505608378e-08	3.2048661385e-08	0.0000000000e+00
0.71	3.3591930085e-08	3.2135213207e-08	0.0000000000e+00
0.715	3.3676816969e-08	3.2219468186e-08	0.0000000000e+00
0.72	3.3760216131e-08	3.2301588715e-08	0.0000000000e+00
0.725	3.3842233945e-08	3.2381610746e-08	0.0000000000e+00
0.73	3.3923656224e-08	3.2460567979e-08	0.0000000000e+00
0.735	3.4004291377e-08	3.2538690242e-08	0.0000000000e+00
0.74	3.4084182903e-08	3.2616261617e-08	0.0000000000e+00
0.745	3.4163351213e-08	3.2693105877e-08	0.0000000000e+00
0.75	3.4241858728e-08	3.2769124037e-08	0.0000000000e+00
0.755	3.4319913243e-08	3.2844388478e-08	0.0000000000e+00
0.76	3.4397341723e-08	3.2918742427e-08	0.0000000000e+00
0.765	3.4474115247e-08	3.2992170493e-08	0.0000000000e+00
0.77	3.4550749374e-08	3.3064676849e-08	0.0000000000e+00
0.775	3.4627252623e-08	3.3136254471e-08	0.0000000000e+00
0.78	3.4702916683e-08	3.3206999146e-08	0.0000000000e+00
0.785	3.4776481100e-08	3.3276712094e-08	0.0000000000e+00
0.79	3.4846995230e-08	3.3345584565e-08	0.0000000000e+00
0.795	3.4915811950e-08	3.3413851628e-08	0.0000000000e+00
0.8	3.4983068300e-08	3.3481648144e-08	0.0000000000e+00
0.805	3.5048804421e-08	3.3549204889e-08	0.0000000000e+00
0.81	3.5113127095e-08	3.3616454168e-08	0.0000000000e+00
0.815	3.5176283134e-08	3.3683399184e-08	0.0000000000e+00
0.82	3.5238325799e-08	3.3750023694e-08	0.0000000000e+00
0.825	3.5299285888e-08	3.3816283729e-08	0.0000000000e+00
0.83	3.5359204998e-08	3.3882258849e-08	0.0000000000e+00
0.835	3.5418006151e-08	3.3947810319e-08	0.0000000000e+00
0.84	3.5476257134e-08	3.4012899818e-08	0.0000000000e+00
0.845	3.5534084469e-08	3.4077546093e-08	0.0000000000e+00
0.85	3.5591691341e-08	3.4141739147e-08	0.0000000000e+00
0.855	3.5649022248e-08	3.4205593894e-08	0.0000000000e+00
0.86	3.5705558633e-08	3.4268960045e-08	0.0000000000e+00
0.865	3.5760913406e-08	3.4331805618e-08	0.0000000000e+00
0.87	3.5815212936e-08	3.4394119018e-08	0.0000000000e+00
0.875	3.5868876684e-08	3.4455873507e-08	0.0000000000e+00
0.88	3.5922061483e-08	3.4517163759e-08	0.0000000000e+00
0.885	3.5974696265e-08	3.4577833482e-08	0.0000000000e+00
0.89	3.6026824329e-08	3.4637890610e-08	0.0000000000e+00
0.895	3.6078491346e-08	3.4697378916e-08	0.0000000000e+00
0.9	3.6129705941e-08	3.4756282178e-08	0.0000000000e+00
0.905	3.6180637429e-08	3.4814712185e-08	0.0000000000e+00
0.91	3.6231349551e-08	3.4872532151e-08	0.0000000000e+00
0.915	3.6282187134e-08	3.4929712108e-08	0.0000000000e+00
0.92	3.6332692507e-08	3.4986231876e-08	0.0000000000e+00
0.925	3.6382175671e-08	3.5042118688e-08	0.0000000000e+00
0.93	3.6430504253e-08	3.5097512170e-08	0.0000000000e+00
0.935	3.6477581659e-08	3.5152304933e-08	0.0000000000e+00
0.94	3.6522590796e-08	3.5206464627e-08	0.0000000000e+00
0.945	3.6565788874e-08	3.5259969887e-08	0.0000000000e+00
0.95	3.6607946548e-08	3.5312791518e-08	0.0000000000e+00
0.955	3.6649216391e-08	3.5365016362e-08	0.0000000000e+00
0.96	3.6689742635e-08	3.5416493936e-08	0.0000000000e+00
0.965	3.6729662776e-08	3.5467197174e-08	0.0000000000e+00
0.97	3.6769082354e-08	3.5517176842e-08	0.0000000000e+00
0.975	3.6808041010e-08	3.5566415176e-08	0.0000000000e+00
0.98	3.6846606114e-08	3.5614561462e-08	0.0000000000e+00
0.985	3.6884729064e-08	3.5661417523e-08	0.0000000000e+00
0.99	3.6922323433e-08	3.5707052295e-08	0.0000000000e+00
0.995	3.6959736088e-08	3.5751473056e-08	0.0000000000e+00
1	3.6996950511e-08	3.5794577957e-08	0.0000000000e+00
1.005	3.7214679382e-08	3.6015961871e-08	0.0000000000e+00
1.01	3.7429067318e-08	3.6236794246e-08	0.0000000000e+00
1.015	3.7640578784e-08	3.6457502886e-08	0.0000000000e+00
1.02	3.7849295431e-08	3.6678476427e-08	0.0000000000e+00
1.025	3.8055227707e-08	3.6899748993e-08	0.0000000000e+00
1.03	3.8258605109e-08	3.7120897134e-08	0.0000000000e+00
1.035	3.8459362048e-08	3.7341811415e-08	0.0000000000e+00
1.04	3.8657531252e-08	3.7562280171e-08	0.0000000000e+00
1.045	3.8853167587e-08	3.7781643262e-08	0.0000000000e+00
1.05	3.9046303505e-08	3.7999684268e-08	0.0000000000e+00
1.055	3.9237026330e-08	3.8216221775e-08	0.0000000000e+00
1.06	3.9425131367e-08	3.8430613453e-08	0.0000000000e+00
1.065	3.9610543894e-08	3.8642070219e-08	0.0000000000e+00
1.07	3.9793188002e-08	3.8849712799e-08	0.0000000000e+00
1.075	3.9972428861e-08	3.9052628138e-08	0.0000000000e+00
1.08	4.0146834191e-08	3.9250034106e-08	0.0000000000e+00
1.085	4.0315246166e-08	3.9441005890e-08	0.0000000000e+00
1.09	4.0477105540e-08	3.9624744445e-08	0.0000000000e+00
1.095	4.0631821621e-08	3.9800614911e-08	0.0000000000e+00
1.1	4.0779307509e-08	3.9967804279e-08	0.0000000000e+00
1.105	4.0919043454e-08	4.0126311683e-08	0.0000000000e+00
1.11	4.1051172866e-08	4.0276113474e-08	0.0000000000e+00
1.115	4.1176294936e-08	4.0417511644e-08	0.0000000000e+00
1.12	4.1295122872e-08	4.0550979460e-08	0.0000000000e+00
1.125	4.1408360562e-08	4.0677170059e-08	0.0000000000e+00
1.13	4.1516337394e-08	4.0796895447e-08	0.0000000000e+00
1.135	4.1620148945e-08	4.0910585423e-08	0.0000000000e+00
1.14	4.1720239642e-08	4.1019008143e-08	0.0000000000e+00
1.145	4.1816787399e-08	4.1122915100e-08	0.0000000000e+00
1.15	4.1909855710e-08	4.1222869497e-08	0.0000000000e+00
1.155	4.1999460950e-08	4.1319496129e-08	0.0000000000e+00
1.16	4.2085623847e-08	4.1413124404e-08	0.0000000000e+00
1.165	4.2168357283e-08	4.1504028533e-08	0.0000000000e+00
1.17	4.2247632870e-08	4.1592395312e-08	0.0000000000e+00
1.175	4.2324129291e-08	4.1678374710e-08	0.0000000000e+00
1.18	4.2398351693e-08	4.1762086394e-08	0.0000000000e+00
1.185	4.2470838721e-08	4.1843652684e-08	0.0000000000e+00
1.19	4.2540966026e-08	4.1923205589e-08	0.0000000000e+00
1.195	4.2608803469e-08	4.2000647560e-08	0.0000000000e+00
1.2	4.2674320808e-08	4.2076030884e-08	0.0000000000e+00
1.205	4.2736435026e-08	4.2149545035e-08	0.0000000000e+00
1.21	4.2796407075e-08	4.2221229014e-08	0.0000000000e+00
1.215	4.2855049927e-08	4.2291113707e-08	0.0000000000e+00
1.22	4.2912522367e-08	4.2359226357e-08	0.0000000000e+00
1.225	4.2968874580e-08	4.2425496528e-08	0.0000000000e+00
1.23	4.3024192629e-08	4.2490358669e-08	0.0000000000e+00
1.235	4.3080278935e-08	4.2553859898e-08	0.0000000000e+00
1.24	4.3136580465e-08	4.2615992143e-08	0.0000000000e+00
1.245	4.3192870120e-08	4.2676771576e-08	0.0000000000e+00
1.25	4.3249097605e-08	4.2736220264e-08	0.0000000000e+00
1.255	4.3305358712e-08	4.2794628294e-08	0.0000000000e+00
1.26	4.3361788322e-08	4.2852597680e-08	0.0000000000e+00
1.265	4.3418514748e-08	4.2910710782e-08	0.0000000000e+00
1.27	4.3475577359e-08	4.2969224236e-08	0.0000000000e+00
1.275	4.3532130275e-08	4.3027885421e-08	0.0000000000e+00
1.28	4.3587213697e-08	4.3086381089e-08	0.0000000000e+00
1.285	4.3640105412e-08	4.3144541476e-08	0.0000000000e+00
1.29	4.3690604589e-08	4.3202058222e-08	0.0000000000e+00
1.295	4.3738515813e-08	4.3258917137e-08	0.0000000000e+00
1.3	4.3784321602e-08	4.3315335873e-08	0.0000000000e+00
1.305	4.3828042531e-08	4.3371541670e-08	0.0000000000e+00
1.31	4.3868969104e-08	4.3427437127e-08	0.0000000000e+00
1.315	4.3906862396e-08	4.3483150475e-08	0.0000000000e+00
1.32	4.3942023339e-08	4.3538021703e-08	0.0000000000e+00
1.325	4.3974525152e-08	4.3591770990e-08	0.0000000000e+00
1.33	4.4004538930e-08	4.3644321093e-08	0.0000000000e+00
1.335	4.4032201906e-08	4.3695632705e-08	0.0000000000e+00
1.34	4.4057810566e-08	4.3745474446e-08	0.0000000000e+00
1.345	4.4081629985e-08	4.3794093940e-08	0.0000000000e+00
1.35	4.4103841658e-08	4.3841541238e-08	0.0000000000e+00
1.355	4.4124519879e-08	4.3888128631e-08	0.0000000000e+00
1.36	4.4143841473e-08	4.3934158421e-08	0.0000000000e+00
1.365	4.4161882475e-08	4.3979338334e-08	0.0000000000e+00
1.37	4.4178689546e-08	4.4023646119e-08	0.0000000000e+00
1.375	4.4194281569e-08	4.4066974569e-08	0.0000000000e+00
1.38	4.4208537013e-08	4.4109198743e-08	0.0000000000e+00
1.385	4.4221394545e-08	4.4150255734e-08	0.0000000000e+00
1.39	4.4232696771e-08	4.4190125907e-08	0.0000000000e+00
1.395	4.4242482339e-08	4.4228800044e-08	0.0000000000e+00
1.4	4.4251059341e-08	4.4266238312e-08	0.0000000000e+00
1.405	4.4259862559e-08	4.4302521206e-08	0.0000000000e+00
1.41	4.4269387104e-08	4.4337594712e-08	0.0000000000e+00
1.415	4.4279485061e-08	4.4371365550e-08	0.0000000000e+00
1.42	4.4290100009e-08	4.4403830312e-08	0.0000000000e+00
1.425	4.4301386945e-08	4.4434980999e-08	0.0000000000e+00
1.43	4.4312487322e-08	4.4464851994e-08	0.0000000000e+00
1.435	4.4323220590e-08	4.4493442521e-08	0.0000000000e+00
1.44	4.4333737387e-08	4.4520783336e-08	0.0000000000e+00
1.445	4.4344044372e-08	4.4546810105e-08	0.0000000000e+00
1.45	4.4354177161e-08	4.4571683884e-08	0.0000000000e+00
1.455	4.4364079671e-08	4.4595546671e-08	0.0000000000e+00
1.46	4.4374064075e-08	4.4618446992e-08	0.0000000000e+00
1.465	4.4383740236e-08	4.4640394605e-08	0.0000000000e+00
1.47	4.4393113320e-08	4.4661493340e-08	0.0000000000e+00
1.475	4.4402223537e-08	4.4681734722e-08	0.0000000000e+00
1.48	4.4411000253e-08	4.4700978616e-08	0.0000000000e+00
1.485	4.4419898495e-08	4.4719206407e-08	0.0000000000e+00
1.49	4.4428413678e-08	4.4736404753e-08	0.0000000000e+00
1.495	4.4435942421e-08	4.4752545799e-08	0.0000000000e+00
1.5	4.4442251414e-08	4.4767637131e-08	0.0000000000e+00
1.505	4.4446813671e-08	4.4781653770e-08	0.0000000000e+00
1.51	4.4449382983e-08	4.4794578199e-08	0.0000000000e+00
1.515	4.4449753691e-08	4.4806365094e-08	0.0000000000e+00
1.52	4.4447207215e-08	4.4817051915e-08	0.0000000000e+00
1.525	4.4442153288e-08	4.4826695563e-08	0.0000000000e+00
1.53	4.4434968513e-08	4.4835423840e-08	0.0000000000e+00
1.535	4.4425971801e-08	4.4843370130e-08	0.0000000000e+00
1.54	4.4415465984e-08	4.4850632416e-08	0.0000000000e+00
1.545	4.4403641861e-08	4.4857262900e-08	0.0000000000e+00
1.55	4.4391628881e-08	4.4863426754e-08	0.0000000000e+00
1.555	4.4380376089e-08	4.4868752836e-08	0.0000000000e+00
1.56	4.4368958863e-08	4.4873101442e-08	0.0000000000e+00
1.565	4.4357233379e-08	4.4876525360e-08	0.0000000000e+00
1.57	4.4345075821e-08	4.4879014834e-08	0.0000000000e+00
1.575	4.4332494578e-08	4.4880425782e-08	0.0000000000e+00
1.58	4.4319360060e-08	4.4880790271e-08	0.0000000000e+00
1.585	4.4305965694e-08	4.4880162754e-08	0.0000000000e+00
1.59	4.4292504374e-08	4.4878593900e-08	0.0000000000e+00
1.595	4.4278487767e-08	4.4876087856e-08	0.0000000000e+00
1.6	4.4263942902e-08	4.4872767070e-08	0.0000000000e+00
1.605	4.4248677882e-08	4.4868802678e-08	0.0000000000e+00
1.61	4.4233020547e-08	4.4864194568e-08	0.0000000000e+00
1.615	4.4217028273e-08	4.4859103807e-08	0.0000000000e+00
1.62	4.4200676969e-08	4.4853527827e-08	0.0000000000e+00
1.625	4.4183991525e-08	4.4847439952e-08	0.0000000000e+00
1.63	4.4166888579e-08	4.4841026374e-08	0.0000000000e+00
1.635	4.4149156269e-08	4.4834336973e-08	0.0000000000e+00
1.64	4.4130615391e-08	4.4827659377e-08	0.0000000000e+00
1.645	4.4110958565e-08	4.4821303083e-08	0.0000000000e+00
1.65	4.4090772862e-08	4.4815334150e-08	0.0000000000e+00
1.655	4.4070257094e-08	4.4809983057e-08	0.0000000000e+00
1.66	4.4051178419e-08	4.4805264705e-08	0.0000000000e+00
1.665	4.4033374387e-08	4.4800848007e-08	0.0000000000e+00
1.67	4.4016187879e-08	4.4796400760e-08	0.0000000000e+00
1.675	4.3999393097e-08	4.4791830283e-08	0.0000000000e+00
1.68	4.3982589723e-08	4.4787161801e-08	0.0000000000e+00
1.685	4.3965810945e-08	4.4782525072e-08	0.0000000000e+00
1.69	4.3948644852e-08	4.4778183453e-08	0.0000000000e+00
1.695	4.3930974767e-08	4.4774227538e-08	0.0000000000e+00
1.7	4.3913493048e-08	4.4770815113e-08	0.0000000000e+00
1.705	4.3896130416e-08	4.4768079114e-08	0.0000000000e+00
1.71	4.3879024547e-08	4.4766127849e-08	0.0000000000e+00
1.715	4.3862100921e-08	4.4764932726e-08	0.0000000000e+00
1.72	4.3845419832e-08	4.4764388417e-08	0.0000000000e+00
1.725	4.3828921792e-08	4.4764468182e-08	0.0000000000e+00
1.73	4.3812054490e-08	4.4764469435e-08	0.0000000000e+00
1.735	4.3794963276e-08	4.4764153759e-08	0.0000000000e+00
1.74	4.3777601457e-08	4.4763435328e-08	0.0000000000e+00
1.745	4.3759948141e-08	4.4762494198e-08	0.0000000000e+00
1.75	4.3742130225e-08	4.4761394446e-08	0.0000000000e+00
1.755	4.3723972609e-08	4.4760163592e-08	0.0000000000e+00
1.76	4.3705546076e-08	4.4758833437e-08	0.0000000000e+00
1.765	4.3686860939e-08	4.4757398505e-08	0.0000000000e+00
1.77	4.3667533664e-08	4.4755842035e-08	0.0000000000e+00
1.775	4.3647558301e-08	4.4754164468e-08	0.0000000000e+00
1.78	4.3627503009e-08	4.4752405175e-08	0.0000000000e+00
1.785	4.3608357681e-08	4.4750660395e-08	0.0000000000e+00
1.79	4.3590899804e-08	4.4748780603e-08	0.0000000000e+00
1.795	4.3574100538e-08	4.4746601341e-08	0.0000000000e+00
1.8	4.3557870428e-08	4.4744020954e-08	0.0000000000e+00
1.805	4.3542209932e-08	4.4740941036e-08	0.0000000000e+00
1.81	4.3527024812e-08	4.4737343181e-08	0.0000000000e+00
1.815	4.3512072456e-08	4.4733224526e-08	0.0000000000e+00
1.82	4.3497329010e-08	4.4728630523e-08	0.0000000000e+00
1.825	4.3482780405e-08	4.4723562709e-08	0.0000000000e+00
1.83	4.3468400053e-08	4.4718037932e-08	0.0000000000e+00
1.835	4.3454261181e-08	4.4712094027e-08	0.0000000000e+00
1.84	4.3439993109e-08	4.4705758461e-08	0.0000000000e+00
1.845	4.3425508888e-08	4.4699028108e-08	0.0000000000e+00
1.85	4.3410641244e-08	4.4691913896e-08	0.0000000000e+00
1.855	4.3395455937e-08	4.4684398644e-08	0.0000000000e+00
1.86	4.3380388775e-08	4.4676525974e-08	0.0000000000e+00
1.865	4.3365781490e-08	4.4668395214e-08	0.0000000000e+00
1.87	4.3351543767e-08	4.4660046115e-08	0.0000000000e+00
1.875	4.3337325033e-08	4.4651587234e-08	0.0000000000e+00
1.88	4.3323013833e-08	4.4643017037e-08	0.0000000000e+00
1.885	4.3308670354e-08	4.4634400891e-08	0.0000000000e+00
1.89	4.3294261189e-08	4.4625727849e-08	0.0000000000e+00
1.895	4.3279752622e-08	4.4616963677e-08	0.0000000000e+00
1.9	4.3265146960e-08	4.4608125957e-08	0.0000000000e+00
1.905	4.3250317777e-08	4.4599203226e-08	0.0000000000e+00
1.91	4.3235204941e-08	4.4590244702e-08	0.0000000000e+00
1.915	4.3219495223e-08	4.4581277052e-08	0.0000000000e+00
1.92	4.3203611358e-08	4.4572327563e-08	0.0000000000e+00
1.925	4.3188203073e-08	4.4563379447e-08	0.0000000000e+00
1.93	4.3173429663e-08	4.4554393750e-08	0.0000000000e+00
1.935	4.3159341865e-08	4.4545397550e-08	0.0000000000e+00
1.94	4.3146737251e-08	4.4536419938e-08	0.0000000000e+00
1.945	4.3135306587e-08	4.4527494730e-08	0.0000000000e+00
1.95	4.3124380270e-08	4.4518656775e-08	0.0000000000e+00
1.955	4.3113855607e-08	4.4509918821e-08	0.0000000000e+00
1.96	4.3103570197e-08	4.4501353979e-08	0.0000000000e+00
1.965	4.3093305599e-08	4.4492996407e-08	0.0000000000e+00
1.97	4.3083025498e-08	4.4484827863e-08	0.0000000000e+00
1.975	4.3072717931e-08	4.4476893560e-08	0.0000000000e+00
1.98	4.3062258962e-08	4.4469575264e-08	0.0000000000e+00
1.985	4.3051690035e-08	4.4463042968e-08	0.0000000000e+00
1.99	4.3041095199e-08	4.4457366423e-08	0.0000000000e+00
1.995	4.3030240011e-08	4.4452349687e-08	0.0000000000e+00
2	4.3019173158e-08	4.4447946821e-08	0.0000000000e+00
2.005	4.3007846394e-08	4.4443820620e-08	0.0000000000e+00
2.01	4.2996316386e-08	4.4439943709e-08	0.0000000000e+00
2.015	4.2984666204e-08	4.4436067771e-08	0.0000000000e+00
2.02	4.2972997831e-08	4.4431865638e-08	0.0000000000e+00
2.025	4.2961403615e-08	4.4427008466e-08	0.0000000000e+00
2.03	4.2949600329e-08	4.4421641876e-08	0.0000000000e+00
2.035	4.2937659994e-08	4.4415846197e-08	0.0000000000e+00
2.04	4.2925443131e-08	4.4409425321e-08	0.0000000000e+00
2.045	4.2912903529e-08	4.4402373662e-08	0.0000000000e+00
