# Solver information    
# Time                  	U_solver                	Ux_initial              	Ux_final                	Ux_iters                	Uy_initial              	Uy_final                	Uy_iters                	U_converged             	epsilon_solver          	epsilon_initial         	epsilon_final           	epsilon_iters           	epsilon_converged       	k_solver                	k_initial               	k_final                 	k_iters                 	k_converged             	p_solver                	p_initial               	p_final                 	p_iters                 	p_converged             
0.055                   	smoothSolver	4.7757599999999997e-02	5.5406500000000001e-06	3	4.6321800000000003e-02	6.2759200000000000e-06	3	false	smoothSolver	4.5970700000000000e-03	9.1628399999999992e-06	2	true	smoothSolver	6.1348399999999997e-02	6.9617400000000000e-06	3	true	GAMG	9.4081499999999998e-02	2.2041000000000001e-03	2	true
0.06                    	smoothSolver	4.5401999999999998e-02	5.3897200000000000e-06	3	4.3505299999999997e-02	5.8926500000000002e-06	3	false	smoothSolver	4.4448400000000002e-03	8.6977100000000005e-06	2	true	smoothSolver	5.5590100000000003e-02	6.3390099999999996e-06	3	true	GAMG	1.0314200000000000e-01	2.4490699999999998e-03	2	true
0.065                   	smoothSolver	4.3707000000000003e-02	5.4229899999999997e-06	3	4.1240699999999998e-02	5.5859899999999997e-06	3	false	smoothSolver	4.2865600000000000e-03	8.2650699999999995e-06	2	true	smoothSolver	5.0678599999999997e-02	5.8080000000000001e-06	3	true	GAMG	1.0445900000000000e-01	2.4849600000000000e-03	2	true
0.07                    	smoothSolver	4.1040600000000003e-02	5.3896099999999999e-06	3	3.9195700000000000e-02	5.3337500000000004e-06	3	false	smoothSolver	4.1259000000000001e-03	7.8252900000000004e-06	2	true	smoothSolver	4.6439700000000000e-02	5.3714900000000003e-06	3	true	GAMG	7.5855400000000003e-02	1.7845599999999999e-03	2	true
0.075                   	smoothSolver	3.8185400000000001e-02	5.3243699999999998e-06	3	3.6861800000000000e-02	5.0627300000000002e-06	3	false	smoothSolver	3.9680799999999997e-03	7.4023999999999996e-06	2	true	smoothSolver	4.2745199999999997e-02	5.0086599999999997e-06	3	true	GAMG	5.8403400000000001e-02	1.3279600000000000e-03	2	true
0.08                    	smoothSolver	3.5537600000000003e-02	5.2787699999999998e-06	3	3.4484399999999998e-02	4.7752499999999997e-06	3	false	smoothSolver	3.8192000000000000e-03	7.0113600000000001e-06	2	true	smoothSolver	3.9499100000000002e-02	4.7196200000000002e-06	3	true	GAMG	5.5843700000000003e-02	1.2141800000000000e-03	2	true
0.085                   	smoothSolver	3.3125500000000002e-02	5.2310600000000004e-06	3	3.2232799999999999e-02	4.4911799999999997e-06	3	false	smoothSolver	3.6744199999999999e-03	6.6591000000000003e-06	2	true	smoothSolver	3.6643599999999998e-02	4.4457800000000001e-06	3	true	GAMG	5.2338700000000002e-02	1.0943800000000000e-03	2	true
0.09                    	smoothSolver	3.0824200000000000e-02	5.1444100000000001e-06	3	3.0257400000000000e-02	4.2103799999999998e-06	3	false	smoothSolver	3.5280699999999999e-03	6.3115800000000001e-06	2	true	smoothSolver	3.4079199999999997e-02	4.2074599999999997e-06	3	true	GAMG	5.0484399999999999e-02	9.7734400000000000e-04	2	true
0.095                   	smoothSolver	2.8617199999999999e-02	4.9839200000000004e-06	3	2.8571400000000000e-02	4.0152799999999998e-06	3	false	smoothSolver	3.3477300000000002e-03	5.9144800000000002e-06	2	true	smoothSolver	3.1762199999999997e-02	3.9948399999999997e-06	3	true	GAMG	4.7679899999999997e-02	8.8620400000000003e-04	2	true
0.1                     	smoothSolver	2.6563699999999999e-02	4.8068600000000003e-06	3	2.7335800000000000e-02	4.0380600000000001e-06	3	false	smoothSolver	3.1759000000000002e-03	5.5505999999999998e-06	2	true	smoothSolver	2.9680200000000000e-02	3.8010900000000001e-06	3	true	GAMG	4.3396999999999998e-02	7.8892899999999995e-04	2	true
0.105                   	smoothSolver	2.4670399999999999e-02	4.5797499999999996e-06	3	2.6256700000000001e-02	4.0667399999999998e-06	3	false	smoothSolver	3.0149700000000001e-03	5.2187900000000001e-06	2	true	smoothSolver	2.7834700000000000e-02	3.6269599999999999e-06	3	true	GAMG	4.0411400000000000e-02	7.4131800000000003e-04	2	true
0.11                    	smoothSolver	2.2949700000000000e-02	4.3116600000000003e-06	3	2.5166500000000001e-02	4.0807200000000003e-06	3	false	smoothSolver	2.8639400000000001e-03	4.9143999999999999e-06	2	true	smoothSolver	2.6169200000000000e-02	3.4702100000000001e-06	3	true	GAMG	3.6453600000000003e-02	6.4471799999999996e-04	2	true
0.115                   	smoothSolver	2.1947299999999999e-02	4.1677500000000000e-06	3	2.4127200000000001e-02	4.0844100000000001e-06	3	false	smoothSolver	2.7202699999999999e-03	4.6308900000000001e-06	2	true	smoothSolver	2.4653300000000000e-02	3.3176900000000002e-06	3	true	GAMG	3.2903700000000001e-02	5.7018800000000001e-04	2	true
0.12                    	smoothSolver	2.0955900000000000e-02	4.0042900000000001e-06	3	2.3083200000000002e-02	4.0587200000000003e-06	3	false	smoothSolver	2.5858999999999999e-03	4.3698600000000000e-06	2	true	smoothSolver	2.3311200000000001e-02	3.1426700000000000e-06	3	true	GAMG	2.9232399999999999e-02	5.0099699999999999e-04	2	true
0.125                   	smoothSolver	1.9952000000000001e-02	3.8158900000000003e-06	3	2.2042500000000000e-02	4.0298099999999998e-06	3	false	smoothSolver	2.4665300000000002e-03	4.1367599999999997e-06	2	true	smoothSolver	2.2075100000000000e-02	3.0220000000000000e-06	3	true	GAMG	2.6439700000000000e-02	4.4720900000000001e-04	2	true
0.13                    	smoothSolver	1.8925899999999999e-02	3.5982600000000001e-06	3	2.0977500000000000e-02	3.9342200000000001e-06	3	false	smoothSolver	2.3502400000000000e-03	3.9180600000000004e-06	2	true	smoothSolver	2.0936799999999998e-02	2.9097200000000000e-06	3	true	GAMG	2.3582900000000000e-02	3.9380799999999999e-04	2	true
0.135                   	smoothSolver	1.7959099999999999e-02	3.3811999999999999e-06	3	1.9962199999999999e-02	3.8038700000000001e-06	3	false	smoothSolver	2.2397200000000002e-03	3.7218699999999999e-06	2	true	smoothSolver	1.9885600000000000e-02	2.8063499999999998e-06	3	true	GAMG	2.0991200000000002e-02	1.9547800000000001e-03	1	true
0.14                    	smoothSolver	1.7035600000000001e-02	3.1751599999999999e-06	3	1.8991299999999999e-02	3.6583400000000000e-06	3	false	smoothSolver	2.1357899999999998e-03	3.5323300000000000e-06	2	true	smoothSolver	1.8910699999999999e-02	2.7183200000000000e-06	3	true	GAMG	1.8252999999999998e-02	1.6863700000000000e-03	1	true
0.145                   	smoothSolver	1.6215600000000000e-02	2.9854200000000000e-06	3	1.8067400000000001e-02	3.5038299999999998e-06	3	false	smoothSolver	2.0376299999999999e-03	3.3619200000000001e-06	2	true	smoothSolver	1.8005600000000000e-02	2.6440699999999998e-06	3	true	GAMG	1.5819699999999999e-02	1.5148600000000000e-03	1	true
0.15                    	smoothSolver	1.5566900000000000e-02	2.8175999999999999e-06	3	1.7339299999999998e-02	3.3712000000000000e-06	3	false	smoothSolver	1.9486900000000001e-03	3.2090399999999999e-06	2	true	smoothSolver	1.7163500000000002e-02	2.5701000000000002e-06	3	true	GAMG	1.3530100000000000e-02	2.3025500000000001e-04	2	true
0.155                   	smoothSolver	1.5026200000000000e-02	2.6692400000000000e-06	3	1.6670200000000000e-02	3.2521499999999999e-06	3	false	smoothSolver	1.8618199999999999e-03	3.0662099999999998e-06	2	true	smoothSolver	1.6411300000000000e-02	2.4951500000000002e-06	3	true	GAMG	1.2537400000000001e-02	2.2829299999999999e-04	2	true
0.16                    	smoothSolver	1.4518500000000000e-02	2.5427700000000001e-06	3	1.6109800000000001e-02	3.1392800000000000e-06	3	false	smoothSolver	1.7803999999999999e-03	2.9397000000000000e-06	2	true	smoothSolver	1.5717399999999999e-02	2.4246399999999999e-06	3	true	GAMG	1.2263700000000001e-02	2.3072600000000000e-04	2	true
0.165                   	smoothSolver	1.4038100000000000e-02	2.4358900000000000e-06	3	1.5640100000000001e-02	3.0393299999999998e-06	3	false	smoothSolver	1.6988299999999999e-03	2.8062700000000002e-06	2	true	smoothSolver	1.5070099999999999e-02	2.3505300000000002e-06	3	true	GAMG	1.2423099999999999e-02	2.3762800000000001e-04	2	true
0.17                    	smoothSolver	1.3585800000000000e-02	2.3501000000000002e-06	3	1.5199100000000000e-02	2.9633900000000000e-06	3	false	smoothSolver	1.6351700000000000e-03	2.7059499999999999e-06	2	true	smoothSolver	1.4470700000000000e-02	2.2970799999999999e-06	3	true	GAMG	1.3297200000000000e-02	2.4890399999999999e-04	2	true
0.175                   	smoothSolver	1.3150600000000000e-02	2.2784200000000002e-06	3	1.4792200000000000e-02	2.8944799999999999e-06	3	false	smoothSolver	1.5726700000000000e-03	2.6082100000000001e-06	2	true	smoothSolver	1.3903199999999999e-02	2.2388699999999999e-06	3	true	GAMG	1.2900600000000000e-02	2.5324300000000000e-04	2	true
0.18                    	smoothSolver	1.2755100000000000e-02	2.2279400000000001e-06	3	1.4427499999999999e-02	2.8403999999999999e-06	3	false	smoothSolver	1.5136300000000000e-03	2.5175500000000001e-06	2	true	smoothSolver	1.3395000000000001e-02	2.1905800000000001e-06	3	true	GAMG	1.3623600000000000e-02	2.6611400000000002e-04	2	true
0.185                   	smoothSolver	1.2381900000000000e-02	2.1923799999999998e-06	3	1.4088000000000000e-02	2.7920800000000002e-06	3	false	smoothSolver	1.4579700000000001e-03	2.4373500000000001e-06	2	true	smoothSolver	1.2922500000000000e-02	2.1141199999999999e-06	3	true	GAMG	1.3705500000000001e-02	2.6349199999999999e-04	2	true
0.19                    	smoothSolver	1.2037100000000000e-02	2.1443000000000000e-06	3	1.3747199999999999e-02	2.7384100000000002e-06	3	false	smoothSolver	1.4083399999999999e-03	2.3618800000000001e-06	2	true	smoothSolver	1.2475900000000000e-02	2.0688500000000001e-06	3	true	GAMG	1.4099600000000000e-02	2.8983699999999998e-04	2	true
0.195                   	smoothSolver	1.1674300000000000e-02	2.1138899999999999e-06	3	1.3398900000000000e-02	2.7027899999999999e-06	3	false	smoothSolver	1.3623999999999999e-03	2.2913300000000000e-06	2	true	smoothSolver	1.2051900000000001e-02	2.0148799999999998e-06	3	true	GAMG	1.2516500000000000e-02	2.9657000000000002e-04	2	true
0.2                     	smoothSolver	1.1375100000000001e-02	2.1210100000000000e-06	3	1.3133499999999999e-02	2.7536499999999999e-06	3	false	smoothSolver	1.3171999999999999e-03	2.2256899999999999e-06	2	true	smoothSolver	1.1667100000000000e-02	1.9714599999999998e-06	3	true	GAMG	1.2950300000000000e-02	3.0499800000000001e-04	2	true
0.205                   	smoothSolver	1.1082800000000000e-02	2.1160100000000000e-06	3	1.2874500000000001e-02	2.8110799999999999e-06	3	false	smoothSolver	1.2806300000000000e-03	2.1748899999999999e-06	2	true	smoothSolver	1.1311999999999999e-02	1.9379399999999999e-06	3	true	GAMG	1.5455900000000000e-02	3.1548600000000002e-04	2	true
0.21                    	smoothSolver	1.0761300000000000e-02	2.0929500000000000e-06	3	1.2514300000000001e-02	2.8469300000000002e-06	3	false	smoothSolver	1.2411799999999999e-03	2.1227900000000000e-06	2	true	smoothSolver	1.0972900000000001e-02	1.8982000000000001e-06	3	true	GAMG	1.2131899999999999e-02	2.9856799999999998e-04	2	true
0.215                   	smoothSolver	1.0493499999999999e-02	2.1057800000000001e-06	3	1.2408000000000001e-02	2.9193400000000000e-06	3	false	smoothSolver	1.2070799999999999e-03	2.0730299999999999e-06	2	true	smoothSolver	1.0648200000000000e-02	1.8680299999999999e-06	3	true	GAMG	1.2591000000000000e-02	3.1732499999999997e-04	2	true
0.22                    	smoothSolver	1.0217800000000001e-02	2.1093200000000000e-06	3	1.2305200000000001e-02	2.9659900000000002e-06	3	false	smoothSolver	1.1746899999999999e-03	2.0272100000000001e-06	2	true	smoothSolver	1.0353299999999999e-02	1.8392300000000001e-06	3	true	GAMG	1.2473100000000001e-02	3.1851200000000002e-04	2	true
0.225                   	smoothSolver	9.9487699999999991e-03	2.1197799999999999e-06	3	1.2186300000000001e-02	3.0035999999999999e-06	3	false	smoothSolver	1.1435600000000001e-03	1.9856699999999999e-06	2	true	smoothSolver	1.0073199999999999e-02	1.8123899999999999e-06	3	true	GAMG	1.2706900000000000e-02	3.2033499999999999e-04	2	true
0.23                    	smoothSolver	9.6828799999999996e-03	2.1351999999999999e-06	3	1.2054799999999999e-02	3.0642499999999999e-06	3	false	smoothSolver	1.1135500000000000e-03	1.9463800000000000e-06	2	true	smoothSolver	9.8041399999999994e-03	1.7811899999999999e-06	3	true	GAMG	1.2463900000000000e-02	3.1624000000000002e-04	2	true
0.235                   	smoothSolver	9.4199999999999996e-03	2.1524400000000002e-06	3	1.1892500000000000e-02	3.1164200000000001e-06	3	false	smoothSolver	1.0831400000000000e-03	1.9072200000000001e-06	2	true	smoothSolver	9.5619799999999994e-03	1.7515399999999999e-06	3	true	GAMG	1.4550199999999999e-02	3.4155800000000000e-04	2	true
0.24                    	smoothSolver	9.1806500000000003e-03	2.1801399999999999e-06	3	1.1960100000000000e-02	3.2150199999999998e-06	3	false	smoothSolver	1.0691600000000000e-03	1.8908500000000001e-06	2	true	smoothSolver	9.3440399999999996e-03	1.7291500000000000e-06	3	true	GAMG	1.2457200000000000e-02	3.1793199999999999e-04	2	true
0.245                   	smoothSolver	8.9342999999999992e-03	2.2103900000000002e-06	3	1.1764600000000000e-02	3.2843800000000001e-06	3	false	smoothSolver	1.0554000000000000e-03	1.8711100000000000e-06	2	true	smoothSolver	9.1371300000000003e-03	1.6999199999999999e-06	3	true	GAMG	1.2399900000000000e-02	3.2349800000000003e-04	2	true
0.25                    	smoothSolver	8.6946899999999997e-03	2.2336800000000002e-06	3	1.1591900000000000e-02	3.3620000000000002e-06	3	false	smoothSolver	1.0458700000000000e-03	1.8598000000000000e-06	2	true	smoothSolver	8.9518600000000007e-03	1.6819100000000000e-06	3	true	GAMG	1.2157100000000001e-02	3.2441600000000001e-04	2	true
0.255                   	smoothSolver	9.1811099999999993e-03	3.6418399999999998e-06	3	1.1787700000000000e-02	3.5268500000000000e-06	3	false	smoothSolver	1.0337000000000000e-03	1.8452999999999999e-06	2	true	smoothSolver	8.7814000000000000e-03	1.6674600000000001e-06	3	true	GAMG	3.3141700000000002e-01	3.2686899999999998e-02	1	true
0.26                    	smoothSolver	8.3491599999999996e-03	2.2874100000000002e-06	3	1.1495399999999999e-02	3.5800500000000001e-06	3	false	smoothSolver	1.0215000000000001e-03	1.8276399999999999e-06	2	true	smoothSolver	8.6634099999999999e-03	1.6580400000000001e-06	3	true	GAMG	1.6288100000000000e-02	4.2974099999999998e-04	2	true
0.265                   	smoothSolver	8.0922200000000007e-03	2.2735100000000002e-06	3	1.1125400000000001e-02	3.7030599999999999e-06	3	false	smoothSolver	1.0147600000000000e-03	1.8215700000000001e-06	2	true	smoothSolver	8.5703600000000008e-03	1.6115299999999999e-06	3	true	GAMG	1.6453499999999999e-02	3.5706200000000000e-04	2	true
0.27                    	smoothSolver	7.9337100000000001e-03	2.2815500000000002e-06	3	1.1025500000000001e-02	3.8568899999999996e-06	3	false	smoothSolver	1.0057800000000000e-03	1.8147299999999999e-06	2	true	smoothSolver	8.4796500000000000e-03	1.5949800000000001e-06	3	true	GAMG	1.6556499999999998e-02	3.8350999999999999e-04	2	true
0.275                   	smoothSolver	7.7816900000000000e-03	2.2732499999999998e-06	3	1.0945699999999999e-02	4.0021600000000002e-06	3	false	smoothSolver	9.9439300000000010e-04	1.8118200000000001e-06	2	true	smoothSolver	8.3815699999999996e-03	1.5661900000000001e-06	3	true	GAMG	1.1491599999999999e-02	4.1287499999999999e-04	2	true
0.28                    	smoothSolver	8.3456599999999995e-03	4.1965800000000001e-06	3	1.1164600000000000e-02	3.9940899999999997e-06	3	false	smoothSolver	9.8955900000000010e-04	1.8303600000000000e-06	2	true	smoothSolver	8.2803400000000006e-03	1.5596200000000000e-06	3	true	GAMG	3.3400500000000000e-01	3.2918500000000003e-02	1	true
0.285                   	smoothSolver	7.6689799999999997e-03	2.4660199999999999e-06	3	1.0857500000000001e-02	4.1911800000000001e-06	3	false	smoothSolver	9.7746599999999997e-04	1.8366500000000000e-06	2	true	smoothSolver	8.1753799999999995e-03	1.5483600000000000e-06	3	true	GAMG	1.1245700000000001e-02	4.0330900000000002e-04	2	true
0.29                    	smoothSolver	7.4784999999999999e-03	2.4978399999999999e-06	3	1.0477500000000001e-02	4.2181700000000001e-06	3	false	smoothSolver	9.5737899999999996e-04	1.8293199999999999e-06	2	true	smoothSolver	8.0562299999999993e-03	1.5339700000000001e-06	3	true	GAMG	1.0774000000000001e-02	3.6595800000000000e-04	2	true
0.295                   	smoothSolver	7.3581799999999998e-03	2.5257199999999999e-06	3	1.0259200000000000e-02	4.1760899999999999e-06	3	false	smoothSolver	9.3898899999999999e-04	1.8203700000000000e-06	2	true	smoothSolver	7.9376199999999994e-03	1.5202099999999999e-06	3	true	GAMG	1.1237400000000000e-02	2.6095900000000001e-04	2	true
0.3                     	smoothSolver	7.2214699999999998e-03	2.5247100000000000e-06	3	1.0017399999999999e-02	4.1821700000000000e-06	3	false	smoothSolver	9.1946100000000000e-04	1.8049300000000001e-06	2	true	smoothSolver	7.8262100000000001e-03	1.5107899999999999e-06	3	true	GAMG	1.0320899999999999e-02	2.9195900000000000e-04	2	true
0.305                   	smoothSolver	7.5713300000000002e-03	4.7010999999999998e-06	3	1.0882400000000000e-02	4.8694899999999999e-06	3	false	smoothSolver	8.9823599999999996e-04	1.7835200000000001e-06	2	true	smoothSolver	7.7121300000000002e-03	1.4984699999999999e-06	3	true	GAMG	3.5333399999999998e-01	1.0419899999999999e-02	2	true
0.31                    	smoothSolver	6.9691600000000003e-03	2.4714400000000000e-06	3	9.7190300000000000e-03	4.2352499999999998e-06	3	false	smoothSolver	8.7899300000000001e-04	1.7592900000000000e-06	2	true	smoothSolver	7.5983099999999996e-03	1.4817700000000000e-06	3	true	GAMG	1.0628000000000000e-02	2.5118599999999998e-04	2	true
0.315                   	smoothSolver	6.8209100000000003e-03	2.5068200000000000e-06	3	9.3738299999999997e-03	4.2409200000000000e-06	3	false	smoothSolver	8.6931900000000002e-04	1.7545800000000000e-06	2	true	smoothSolver	7.4897999999999996e-03	1.4728800000000000e-06	3	true	GAMG	1.0065800000000000e-02	2.0012500000000000e-04	2	true
0.32                    	smoothSolver	6.6849099999999996e-03	2.5009999999999999e-06	3	9.2692000000000000e-03	4.2652000000000003e-06	3	false	smoothSolver	8.7023500000000002e-04	1.7628200000000000e-06	2	true	smoothSolver	7.3956600000000001e-03	1.4713400000000000e-06	3	true	GAMG	1.1443399999999999e-02	1.1359700000000000e-03	1	true
0.325                   	smoothSolver	6.5457099999999997e-03	2.4393399999999999e-06	3	9.1483399999999996e-03	4.2361400000000002e-06	3	false	smoothSolver	8.7309900000000001e-04	1.8013499999999999e-06	2	true	smoothSolver	7.3185799999999999e-03	1.4798400000000000e-06	3	true	GAMG	1.0668700000000000e-02	1.0304400000000001e-03	1	true
0.33                    	smoothSolver	6.7412300000000000e-03	4.9898099999999999e-06	3	1.0683099999999999e-02	6.0419300000000001e-06	3	false	smoothSolver	8.6965700000000003e-04	1.8091700000000000e-06	2	true	smoothSolver	7.2410699999999996e-03	1.4430600000000000e-06	3	true	GAMG	3.6176700000000001e-01	1.3392200000000000e-02	2	true
0.335                   	smoothSolver	6.2889900000000004e-03	2.3476000000000002e-06	3	9.0687600000000004e-03	4.3317999999999998e-06	3	false	smoothSolver	8.6901600000000002e-04	1.7729700000000000e-06	2	true	smoothSolver	7.1604700000000004e-03	1.4353200000000000e-06	3	true	GAMG	1.0273400000000000e-02	2.5749699999999998e-04	2	true
0.34                    	smoothSolver	6.1138000000000000e-03	2.3017400000000002e-06	3	8.8234899999999998e-03	4.3779299999999996e-06	3	false	smoothSolver	8.6807699999999998e-04	1.7690100000000000e-06	2	true	smoothSolver	7.0792900000000002e-03	1.3850200000000000e-06	3	true	GAMG	1.0586600000000000e-02	1.0581099999999999e-03	1	true
0.345                   	smoothSolver	5.9805400000000003e-03	2.2556999999999998e-06	3	8.7032299999999993e-03	4.4518299999999999e-06	3	false	smoothSolver	8.6485299999999995e-04	1.7616700000000000e-06	2	true	smoothSolver	6.9962000000000002e-03	1.3686600000000001e-06	3	true	GAMG	9.5113600000000000e-03	2.4786300000000002e-04	2	true
0.35                    	smoothSolver	5.8597600000000003e-03	2.2190400000000001e-06	3	8.6667199999999993e-03	4.5293400000000002e-06	3	false	smoothSolver	8.6051900000000002e-04	1.7544300000000001e-06	2	true	smoothSolver	6.9109899999999997e-03	1.3566000000000001e-06	3	true	GAMG	9.1152999999999998e-03	2.7581900000000001e-04	2	true
0.355                   	smoothSolver	5.9859400000000004e-03	5.1310999999999999e-06	3	1.0329500000000000e-02	6.9866400000000004e-06	3	false	smoothSolver	8.5537000000000005e-04	1.7444599999999999e-06	2	true	smoothSolver	6.8218100000000002e-03	1.3610100000000000e-06	3	true	GAMG	3.6194500000000002e-01	1.4870899999999999e-02	2	true
0.36                    	smoothSolver	5.6413399999999999e-03	2.1896400000000000e-06	3	8.7190500000000008e-03	4.7249799999999999e-06	3	false	smoothSolver	8.4886900000000003e-04	1.7313200000000000e-06	2	true	smoothSolver	6.7334400000000003e-03	1.3512099999999999e-06	3	true	GAMG	1.0122300000000001e-02	3.7730600000000000e-04	2	true
0.365                   	smoothSolver	5.4918099999999997e-03	2.1998500000000002e-06	3	8.5115000000000000e-03	4.8322899999999996e-06	3	false	smoothSolver	8.4281500000000001e-04	1.7132000000000000e-06	2	true	smoothSolver	6.6544500000000001e-03	1.3457099999999999e-06	3	true	GAMG	8.9285000000000007e-03	3.1233200000000002e-04	2	true
0.37                    	smoothSolver	5.4116299999999997e-03	2.2039499999999999e-06	3	8.4676300000000003e-03	4.8717800000000000e-06	3	false	smoothSolver	8.3541900000000001e-04	1.6912600000000000e-06	2	true	smoothSolver	6.5781099999999999e-03	1.3400099999999999e-06	3	true	GAMG	9.1096000000000007e-03	3.4579000000000001e-04	2	true
0.375                   	smoothSolver	5.3324699999999997e-03	2.2222300000000001e-06	3	8.4012199999999992e-03	4.9776300000000000e-06	3	false	smoothSolver	8.2697999999999995e-04	1.6594100000000000e-06	2	true	smoothSolver	6.5007399999999996e-03	1.3339000000000001e-06	3	true	GAMG	9.2790100000000007e-03	3.5093300000000000e-04	2	true
0.38                    	smoothSolver	5.6204999999999996e-03	5.7331999999999996e-06	3	1.0085900000000000e-02	8.0191900000000004e-06	3	false	smoothSolver	8.1948100000000005e-04	1.6612600000000000e-06	2	true	smoothSolver	6.4210200000000004e-03	1.3278000000000000e-06	3	true	GAMG	3.4590700000000002e-01	1.4233200000000000e-02	2	true
0.385                   	smoothSolver	5.2420100000000001e-03	2.2498900000000000e-06	3	8.3861000000000005e-03	5.1435400000000002e-06	3	false	smoothSolver	8.1738999999999998e-04	1.6755300000000001e-06	2	true	smoothSolver	6.3388999999999997e-03	1.3241200000000001e-06	3	true	GAMG	9.9315800000000006e-03	4.6053600000000000e-04	2	true
0.39                    	smoothSolver	5.1678899999999996e-03	2.2855200000000001e-06	3	8.1512000000000008e-03	5.2281300000000004e-06	3	false	smoothSolver	8.1376099999999998e-04	1.6847999999999999e-06	2	true	smoothSolver	6.2590099999999997e-03	1.3164900000000000e-06	3	true	GAMG	1.0346899999999999e-02	3.8944300000000000e-04	2	true
0.395                   	smoothSolver	5.1248200000000004e-03	2.3163100000000000e-06	3	8.0425700000000006e-03	5.3068200000000003e-06	3	false	smoothSolver	8.0983200000000002e-04	1.6938400000000000e-06	2	true	smoothSolver	6.1820599999999996e-03	1.2776600000000000e-06	3	true	GAMG	9.7295000000000003e-03	3.9423200000000000e-04	2	true
0.4                     	smoothSolver	5.0721799999999999e-03	2.3296000000000001e-06	3	7.9525199999999994e-03	5.3800299999999997e-06	3	false	smoothSolver	8.0614000000000000e-04	1.7094699999999999e-06	2	true	smoothSolver	6.1060899999999998e-03	1.2704599999999999e-06	3	true	GAMG	1.1874100000000000e-02	4.1149399999999999e-04	2	true
