# Momentum        
#
# Time            	(momentum_x momentum_y momentum_z)	volume            
0.295             	(3.3828827380e-08 3.3292322969e-08 0.0000000000e+00)	1.0000000000e-04
0.3               	(3.4229002356e-08 3.3316203245e-08 0.0000000000e+00)	1.0000000000e-04
0.305             	(3.4637349298e-08 3.3313882431e-08 0.0000000000e+00)	1.0000000000e-04
0.31              	(3.5173223478e-08 3.3352274183e-08 0.0000000000e+00)	1.0000000000e-04
0.315             	(3.5744743425e-08 3.3420179936e-08 0.0000000000e+00)	1.0000000000e-04
0.32              	(3.6256003837e-08 3.3598660932e-08 0.0000000000e+00)	1.0000000000e-04
0.325             	(3.6750881592e-08 3.3813512420e-08 0.0000000000e+00)	1.0000000000e-04
0.33              	(3.7209526601e-08 3.4041188687e-08 0.0000000000e+00)	1.0000000000e-04
0.335             	(3.7593212051e-08 3.4265974909e-08 0.0000000000e+00)	1.0000000000e-04
0.34              	(3.7959819402e-08 3.4561587434e-08 0.0000000000e+00)	1.0000000000e-04
0.345             	(3.8288322664e-08 3.4852188173e-08 0.0000000000e+00)	1.0000000000e-04
0.35              	(3.8584565105e-08 3.5125209002e-08 0.0000000000e+00)	1.0000000000e-04
0.355             	(3.8873514441e-08 3.5344392656e-08 0.0000000000e+00)	1.0000000000e-04
0.36              	(3.9114739846e-08 3.5479188256e-08 0.0000000000e+00)	1.0000000000e-04
0.365             	(3.9338993368e-08 3.5663166725e-08 0.0000000000e+00)	1.0000000000e-04
0.37              	(3.9557168077e-08 3.5845602034e-08 0.0000000000e+00)	1.0000000000e-04
0.375             	(3.9771672167e-08 3.6031850309e-08 0.0000000000e+00)	1.0000000000e-04
0.38              	(4.0007743980e-08 3.6286116335e-08 0.0000000000e+00)	1.0000000000e-04
0.385             	(4.0259986942e-08 3.6532367666e-08 0.0000000000e+00)	1.0000000000e-04
0.39              	(4.0578242466e-08 3.6776313177e-08 0.0000000000e+00)	1.0000000000e-04
0.395             	(4.0867073708e-08 3.7020230469e-08 0.0000000000e+00)	1.0000000000e-04
0.4               	(4.1103352441e-08 3.7268111708e-08 0.0000000000e+00)	1.0000000000e-04
0.405             	(4.1060409308e-08 3.7515083821e-08 0.0000000000e+00)	1.0000000000e-04
0.41              	(4.0906383896e-08 3.7751981079e-08 0.0000000000e+00)	1.0000000000e-04
0.415             	(4.0779154534e-08 3.7998640275e-08 0.0000000000e+00)	1.0000000000e-04
0.42              	(4.0665554676e-08 3.8244865844e-08 0.0000000000e+00)	1.0000000000e-04
0.425             	(4.0520105390e-08 3.8489442309e-08 0.0000000000e+00)	1.0000000000e-04
0.43              	(4.0546372382e-08 3.8745064342e-08 0.0000000000e+00)	1.0000000000e-04
0.435             	(4.0587630603e-08 3.8981647357e-08 0.0000000000e+00)	1.0000000000e-04
0.44              	(4.0636283884e-08 3.9208198912e-08 0.0000000000e+00)	1.0000000000e-04
0.445             	(4.0687275324e-08 3.9458532924e-08 0.0000000000e+00)	1.0000000000e-04
0.45              	(4.0735032866e-08 3.9676028993e-08 0.0000000000e+00)	1.0000000000e-04
0.455             	(4.0797912742e-08 3.9905149316e-08 0.0000000000e+00)	1.0000000000e-04
0.46              	(4.0790722233e-08 4.0112765669e-08 0.0000000000e+00)	1.0000000000e-04
0.465             	(4.0861947670e-08 4.0314422475e-08 0.0000000000e+00)	1.0000000000e-04
0.47              	(4.0931471086e-08 4.0496213262e-08 0.0000000000e+00)	1.0000000000e-04
0.475             	(4.0992381176e-08 4.0678522238e-08 0.0000000000e+00)	1.0000000000e-04
0.48              	(4.1070086038e-08 4.0906179670e-08 0.0000000000e+00)	1.0000000000e-04
0.485             	(4.1047824114e-08 4.1119037780e-08 0.0000000000e+00)	1.0000000000e-04
0.49              	(4.1127311629e-08 4.1330660177e-08 0.0000000000e+00)	1.0000000000e-04
0.495             	(4.1350922959e-08 4.1547855861e-08 0.0000000000e+00)	1.0000000000e-04
0.5               	(4.1623107942e-08 4.1761565664e-08 0.0000000000e+00)	1.0000000000e-04
0.505             	(4.2009670854e-08 4.1996709730e-08 0.0000000000e+00)	1.0000000000e-04
0.51              	(4.2454586417e-08 4.2215799951e-08 0.0000000000e+00)	1.0000000000e-04
0.515             	(4.2899497119e-08 4.2438011521e-08 0.0000000000e+00)	1.0000000000e-04
0.52              	(4.3443999680e-08 4.2651518721e-08 0.0000000000e+00)	1.0000000000e-04
0.525             	(4.3948569132e-08 4.2850749644e-08 0.0000000000e+00)	1.0000000000e-04
0.53              	(4.4361628105e-08 4.3042479820e-08 0.0000000000e+00)	1.0000000000e-04
0.535             	(4.4639730904e-08 4.3190302168e-08 0.0000000000e+00)	1.0000000000e-04
0.54              	(4.4840479055e-08 4.3314956615e-08 0.0000000000e+00)	1.0000000000e-04
0.545             	(4.5060667092e-08 4.3429596339e-08 0.0000000000e+00)	1.0000000000e-04
0.55              	(4.5132809984e-08 4.3509582797e-08 0.0000000000e+00)	1.0000000000e-04
0.555             	(4.5014973722e-08 4.3680720639e-08 0.0000000000e+00)	1.0000000000e-04
0.56              	(4.5031905940e-08 4.3861454602e-08 0.0000000000e+00)	1.0000000000e-04
0.565             	(4.5064776014e-08 4.4027425586e-08 0.0000000000e+00)	1.0000000000e-04
0.57              	(4.5112644827e-08 4.4196460183e-08 0.0000000000e+00)	1.0000000000e-04
0.575             	(4.5161865763e-08 4.4392065692e-08 0.0000000000e+00)	1.0000000000e-04
0.58              	(4.5242279112e-08 4.4597601320e-08 0.0000000000e+00)	1.0000000000e-04
0.585             	(4.5257975770e-08 4.4772174874e-08 0.0000000000e+00)	1.0000000000e-04
0.59              	(4.5234385527e-08 4.4932081297e-08 0.0000000000e+00)	1.0000000000e-04
0.595             	(4.5305384696e-08 4.5077569672e-08 0.0000000000e+00)	1.0000000000e-04
0.6               	(4.5376308585e-08 4.5203021178e-08 0.0000000000e+00)	1.0000000000e-04
0.605             	(4.5474195518e-08 4.5321396726e-08 0.0000000000e+00)	1.0000000000e-04
0.61              	(4.5533398124e-08 4.5398527359e-08 0.0000000000e+00)	1.0000000000e-04
0.615             	(4.5597047353e-08 4.5444127707e-08 0.0000000000e+00)	1.0000000000e-04
0.62              	(4.5663086833e-08 4.5465691821e-08 0.0000000000e+00)	1.0000000000e-04
0.625             	(4.5722269867e-08 4.5464325964e-08 0.0000000000e+00)	1.0000000000e-04
0.63              	(4.5800916390e-08 4.5453937449e-08 0.0000000000e+00)	1.0000000000e-04
0.635             	(4.5916819274e-08 4.5398460647e-08 0.0000000000e+00)	1.0000000000e-04
0.64              	(4.6067354843e-08 4.5327974826e-08 0.0000000000e+00)	1.0000000000e-04
0.645             	(4.6279316356e-08 4.5234313768e-08 0.0000000000e+00)	1.0000000000e-04
0.65              	(4.6373634199e-08 4.5117181655e-08 0.0000000000e+00)	1.0000000000e-04
0.655             	(4.6440641330e-08 4.4991950414e-08 0.0000000000e+00)	1.0000000000e-04
0.66              	(4.6152234109e-08 4.4858918484e-08 0.0000000000e+00)	1.0000000000e-04
0.665             	(4.5889861551e-08 4.4793196012e-08 0.0000000000e+00)	1.0000000000e-04
0.67              	(4.5768606502e-08 4.4783128607e-08 0.0000000000e+00)	1.0000000000e-04
0.675             	(4.5698252071e-08 4.4774700847e-08 0.0000000000e+00)	1.0000000000e-04
0.68              	(4.5704167780e-08 4.4789637151e-08 0.0000000000e+00)	1.0000000000e-04
0.685             	(4.5697517980e-08 4.4780087678e-08 0.0000000000e+00)	1.0000000000e-04
0.69              	(4.5772223873e-08 4.4751105809e-08 0.0000000000e+00)	1.0000000000e-04
0.695             	(4.5869636561e-08 4.4696984354e-08 0.0000000000e+00)	1.0000000000e-04
0.7               	(4.5830751526e-08 4.4603040703e-08 0.0000000000e+00)	1.0000000000e-04
0.705             	(4.5809217334e-08 4.4493069357e-08 0.0000000000e+00)	1.0000000000e-04
0.71              	(4.5763308140e-08 4.4338989543e-08 0.0000000000e+00)	1.0000000000e-04
0.715             	(4.5730762602e-08 4.4183664711e-08 0.0000000000e+00)	1.0000000000e-04
0.72              	(4.5686258911e-08 4.4044789101e-08 0.0000000000e+00)	1.0000000000e-04
0.725             	(4.5652757986e-08 4.3904772223e-08 0.0000000000e+00)	1.0000000000e-04
0.73              	(4.5729844671e-08 4.3909338981e-08 0.0000000000e+00)	1.0000000000e-04
0.735             	(4.5777068476e-08 4.3944579686e-08 0.0000000000e+00)	1.0000000000e-04
0.74              	(4.5828205620e-08 4.4019233411e-08 0.0000000000e+00)	1.0000000000e-04
0.745             	(4.5880266734e-08 4.4066089737e-08 0.0000000000e+00)	1.0000000000e-04
0.75              	(4.5939445146e-08 4.4095819721e-08 0.0000000000e+00)	1.0000000000e-04
0.755             	(4.6028135665e-08 4.4134074230e-08 0.0000000000e+00)	1.0000000000e-04
0.76              	(4.6089077958e-08 4.4146163020e-08 0.0000000000e+00)	1.0000000000e-04
0.765             	(4.6143668754e-08 4.4153199600e-08 0.0000000000e+00)	1.0000000000e-04
0.77              	(4.6275739588e-08 4.4158148791e-08 0.0000000000e+00)	1.0000000000e-04
0.775             	(4.6408792634e-08 4.4159257061e-08 0.0000000000e+00)	1.0000000000e-04
0.78              	(4.6430838609e-08 4.4172380862e-08 0.0000000000e+00)	1.0000000000e-04
0.785             	(4.6252568646e-08 4.4151912907e-08 0.0000000000e+00)	1.0000000000e-04
0.79              	(4.5917682405e-08 4.4158575364e-08 0.0000000000e+00)	1.0000000000e-04
0.795             	(4.5788836129e-08 4.4200022882e-08 0.0000000000e+00)	1.0000000000e-04
0.8               	(4.5676863930e-08 4.4261317212e-08 0.0000000000e+00)	1.0000000000e-04
0.805             	(4.5566547728e-08 4.4358301202e-08 0.0000000000e+00)	1.0000000000e-04
0.81              	(4.5469125325e-08 4.4443589283e-08 0.0000000000e+00)	1.0000000000e-04
0.815             	(4.5407586848e-08 4.4528481074e-08 0.0000000000e+00)	1.0000000000e-04
0.82              	(4.5351267067e-08 4.4609799874e-08 0.0000000000e+00)	1.0000000000e-04
0.825             	(4.5296707523e-08 4.4682929416e-08 0.0000000000e+00)	1.0000000000e-04
0.83              	(4.5245865723e-08 4.4768183085e-08 0.0000000000e+00)	1.0000000000e-04
0.835             	(4.5178963160e-08 4.4829337452e-08 0.0000000000e+00)	1.0000000000e-04
0.84              	(4.5204134530e-08 4.4882883570e-08 0.0000000000e+00)	1.0000000000e-04
0.845             	(4.5249111252e-08 4.4938103738e-08 0.0000000000e+00)	1.0000000000e-04
0.85              	(4.5327263930e-08 4.4990369089e-08 0.0000000000e+00)	1.0000000000e-04
